insolation_flux,transit_depth,stellar_rad,planet_radius,orbital_period,stellar_logg,mission,disposition,equilibrium_temp,stellar_teff,transit_duration
152.91,755.9,0.833,2.35,4.601811819,4.496,Kepler,CANDIDATE,896.0,4986.0,2.2607
46.65,353.6,0.833,1.55,11.18719905,4.496,Kepler,CANDIDATE,667.0,4986.0,3.252
29.68,2260.0,0.517,2.62,4.220965778,4.747,Kepler,CANDIDATE,595.0,3837.0,3.0854
125.22,20285.0,0.829,588.66,6.998099523,4.566,Kepler,FALSE POSITIVE,853.0,5612.0,2.0488
38.52,1410.7,0.633,2.33,5.95489993,4.641,Kepler,CANDIDATE,635.0,4261.0,2.3892
15.06,1250.6,0.633,2.18,12.03987488,4.641,Kepler,CANDIDATE,502.0,4261.0,2.7363
7.24,439.0,0.633,1.42,20.83762895,4.641,Kepler,CANDIDATE,418.0,4261.0,2.3734
904.92,401.1,2.404,63.66,8.8111022,3.8,Kepler,FALSE POSITIVE,1399.0,6200.0,5.0683
13.34,1200.7,0.721,3.16,23.58917143,4.566,Kepler,CANDIDATE,487.0,4919.0,5.073
406.25,298.5,1.302,2.54,6.481633073,4.213,Kepler,CANDIDATE,1145.0,5945.0,3.784
63.68,1254.9,0.888,3.2,10.37168928,4.457,Kepler,CANDIDATE,720.0,5121.0,3.035
229.37,299.2,0.888,1.78,3.96996298,4.457,Kepler,CANDIDATE,992.0,5121.0,1.1757
398.0,549.4,0.961,2.66,4.40841331,4.457,Kepler,CANDIDATE,1139.0,6007.0,5.012
140.57,1590.7,0.926,4.68,7.9426176,4.521,Kepler,FALSE POSITIVE,878.0,5811.0,6.703
0.73,3136.4,0.75,4.53,226.8904775,4.585,Kepler,CANDIDATE,236.0,5067.0,7.558
357.16,24905.0,0.603,21.58,1.956811408,4.657,Kepler,FALSE POSITIVE,1109.0,5209.0,2.1958
175.76,37492.0,0.639,12.04,2.688899233,4.667,Kepler,CANDIDATE,929.0,4820.0,2.11275
52.32,3036.1,0.779,4.16,9.439459486,4.597,Kepler,CANDIDATE,686.0,5097.0,2.8979
174.81,507.3,1.411,3.13,11.523067458,4.162,Kepler,CANDIDATE,927.0,5644.0,3.8757
18.65,1382.4,0.779,2.92,20.47748843,4.597,Kepler,CANDIDATE,530.0,5097.0,2.8364
209.79,516.3,0.779,1.74,3.336123113,4.597,Kepler,CANDIDATE,970.0,5097.0,1.9616
9.9,1333.6,0.47,1.72,8.01078456,4.779,Kepler,CANDIDATE,453.0,3713.0,2.312
5.74,759.2,0.47,1.29,12.07134205,4.779,Kepler,CANDIDATE,395.0,3713.0,4.3224
2.74,767.3,0.47,1.3,20.99587872,4.779,Kepler,CANDIDATE,328.0,3713.0,2.6333
158.11,620.5,0.919,2.45,7.41113177,4.517,Kepler,CANDIDATE,905.0,5849.0,2.5242
1635.2,1823.5,0.79,4.14,1.000747038,4.499,Kepler,FALSE POSITIVE,1620.0,5472.0,0.9967
83.21,16053.0,0.843,10.51,8.884922995,4.5,Kepler,CANDIDATE,770.0,5332.0,2.07004
223.19,6911.1,1.076,8.95,8.09888906,4.442,Kepler,CANDIDATE,986.0,6214.0,4.20241
139.21,936.1,1.001,3.52,10.00653012,4.47,Kepler,CANDIDATE,876.0,6063.0,5.344
163.04,9065.2,1.367,13.16,17.855221681,4.308,Kepler,CANDIDATE,911.0,6823.0,7.41287
8.22,6465.7,0.541,4.87,12.732624065,4.721,Kepler,CANDIDATE,432.0,3950.0,2.2083
0.62,7958.7,0.509,4.78,83.92494032,4.746,Kepler,CANDIDATE,226.0,3960.0,6.7904
234.28,6932.3,0.827,6.96,5.007316661,4.563,Kepler,CANDIDATE,998.0,5865.0,4.2362
177.19,724.2,0.646,1.85,2.211116989,4.656,Kepler,CANDIDATE,931.0,4500.0,1.6485
6.04,942.5,0.646,1.9,27.9541337,4.656,Kepler,CANDIDATE,400.0,4500.0,3.95
244.3,252.1,1.626,2.57,12.69104387,4.024,Kepler,CANDIDATE,1008.0,5869.0,3.7727
347.06,12861.0,0.975,10.95,4.409409243,4.368,Kepler,FALSE POSITIVE,1101.0,5600.0,3.8636
30.14,2590.7,0.837,4.14,16.23947096,4.564,Kepler,CANDIDATE,598.0,5191.0,4.0374
106.44,1328.5,0.837,2.96,6.308201629,4.564,Kepler,CANDIDATE,819.0,5191.0,2.9785
